Restaurants_Name,photos_count,stars,review_count,distance_km,address,hours,attributes,categories,euros,main_category
SouthernVittles,15.0,4.5,10.0,4.107128390422846,Lychener Str. 610437 Berlin,"{'Monday': 'Closed', 'Tuesday': '5:00 PM - 10:00 PM', 'Wednesday': '5:00 PM - 10:00 PM', 'Thursday': '5:00 PM - 10:00 PM', 'Friday': '5:00 PM - 11:00 PM', 'Saturday': '10:00 AM - 3:00 PM', 'Sunday': '10:00 AM - 3:00 PM'}","No Delivery,Good for Groups,Good For Kids",American (Traditional),Unclaimed,Restaurant
AmmAmma,62.0,4.5,138.0,,Urbanstr. 28 a10967 Berlin,"{'Monday': '12:00 PM - 12:00 AM (Next day)', 'Tuesday': '12:00 PM - 12:00 AM (Next day)', 'Wednesday': '12:00 PM - 12:00 AM (Next day)', 'Thursday': '12:00 PM - 12:00 AM (Next day)', 'Friday': '12:00 PM - 12:00 AM (Next day)', 'Saturday': '12:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 12:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating",Indian,€,Restaurant
MuckrakersPizza,34.0,4.5,15.0,0.9934686886955444,Marienstr. 1810117 Berlin,{},"Offers Takeout,No Reservations,No Delivery,Outdoor Seating",Pizza,9,Restaurant
LeckerSong,107.0,4.5,77.0,3.732081177081457,Schliemannstr. 1910437 Berlin,"{'Monday': '5:00 PM - 10:00 PM', 'Tuesday': '5:00 PM - 10:00 PM', 'Wednesday': '5:00 PM - 10:00 PM', 'Thursday': '5:00 PM - 10:00 PM', 'Friday': '5:00 PM - 10:00 PM', 'Saturday': '12:00 PM - 10:00 PM', 'Sunday': '4:00 PM - 10:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Vegan Options",Dim Sum,1,Restaurant
Dolcini,24.0,4.5,34.0,1.837823870060568,Jägerstr. 7010117 Berlin,"{'Monday': '12:00 PM - 11:00 PM', 'Tuesday': '12:00 PM - 11:00 PM', 'Wednesday': '12:00 PM - 11:00 PM', 'Thursday': '12:00 PM - 11:00 PM', 'Friday': '12:00 PM - 11:00 PM', 'Saturday': 'Closed', 'Sunday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Outdoor Seating",Italian,9,Restaurant
SteelVintageBikesCaf,158.0,4.5,73.0,1.2763675836723045,Wilhelmstr. 9110117 Berlin,"{'Monday': '9:00 AM - 5:00 PM', 'Tuesday': '9:00 AM - 5:00 PM', 'Wednesday': '9:00 AM - 5:00 PM', 'Thursday': '9:00 AM - 5:00 PM', 'Friday': '9:00 AM - 5:00 PM', 'Saturday': '9:00 AM - 5:00 PM', 'Sunday': '9:00 AM - 5:00 PM'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards","Cafes,Bikes,Breakfast & Brunch",,Restaurant
Elefant,179.0,4.5,159.0,3.3722672332503967,Fuggerstr. 1810777 Berlin,"{'Monday': '12:00 PM - 11:00 PM', 'Tuesday': '12:00 PM - 11:00 PM', 'Wednesday': '12:00 PM - 11:00 PM', 'Thursday': '12:00 PM - 11:00 PM', 'Friday': '12:00 PM - 11:00 PM', 'Saturday': '12:00 PM - 11:00 PM', 'Sunday': '12:00 PM - 11:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards",German,,Restaurant
TakumiSapporo,76.0,4.5,38.0,1.2126037491059458,Chausseestr. 12410115 Berlin,"{'Monday': '12:00 PM - 3:00 PM', 'Tuesday': '12:00 PM - 3:00 PM', 'Wednesday': '12:00 PM - 3:00 PM', 'Thursday': '12:00 PM - 3:00 PM', 'Friday': '12:00 PM - 3:00 PM', 'Saturday': '1:00 PM - 10:00 PM', 'Sunday': '1:00 PM - 10:00 PM'}","Offers Takeout,No Reservations,No Delivery,Casual",Ramen,,Restaurant
Mezem,83.0,5.0,40.0,3.680489111644799,Kantstr. 12410625 Berlin,"{'Monday': '12:00 PM - 6:00 PM', 'Tuesday': '12:00 PM - 6:00 PM', 'Wednesday': '12:00 PM - 6:00 PM', 'Thursday': '12:00 PM - 6:00 PM', 'Friday': '12:00 PM - 6:00 PM', 'Saturday': '12:00 PM - 6:00 PM', 'Sunday': 'Closed'}","Offers Delivery,Offers Takeout,No Reservations,Many Vegetarian Options",Mediterranean,,Restaurant
LABUVETTESteakhouse,45.0,4.5,88.0,1.2126037491059458,Chausseestr. 11010115 Berlin,"{'Monday': '6:00 PM - 12:00 AM (Next day)', 'Tuesday': '6:00 PM - 12:00 AM (Next day)', 'Wednesday': '6:00 PM - 12:00 AM (Next day)', 'Thursday': '6:00 PM - 12:00 AM (Next day)', 'Friday': '6:00 PM - 12:00 AM (Next day)', 'Saturday': '6:00 PM - 12:00 AM (Next day)', 'Sunday': '6:00 PM - 12:00 AM (Next day)'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards","French,Brasserie",,Restaurant
HirschHase,6.0,5.0,5.0,2.828065926481498,Brunnenstr. 7313355 Berlin,"{'Monday': 'Closed', 'Tuesday': '4:00 PM - 12:00 AM (Next day)', 'Wednesday': '4:00 PM - 12:00 AM (Next day)', 'Thursday': '4:00 PM - 12:00 AM (Next day)', 'Friday': '12:00 PM - 2:00 AM (Next day)', 'Saturday': '11:00 AM - 2:00 AM (Next day)', 'Sunday': '1:00 PM - 11:00 PM'}",Takes Reservations,"Scottish,Beer Gardens,Tapas & Small Plates",,
Yarok,93.0,4.5,169.0,2.2075477310561364,Torstr. 19510115 Berlin,"{'Monday': '2:00 PM - 11:00 PM', 'Tuesday': '2:00 PM - 11:00 PM', 'Wednesday': '2:00 PM - 11:00 PM', 'Thursday': '2:00 PM - 11:00 PM', 'Friday': '2:00 PM - 11:00 PM', 'Saturday': '2:00 PM - 11:00 PM', 'Sunday': '2:00 PM - 11:00 PM'}","Offers Takeout,No Reservations,No Delivery,Vegan Options",Syrian,,
LIUChuanChuanXiangNudelhaus,29.0,4.0,10.0,2.14852176470989,Kronenstr. 7210117 Berlin,"{'Monday': '11:30 AM - 3:00 PM', 'Tuesday': '11:30 AM - 3:00 PM', 'Wednesday': '11:30 AM - 3:00 PM', 'Thursday': '11:30 AM - 3:00 PM', 'Friday': '11:30 AM - 7:30 PM', 'Saturday': 'Closed', 'Sunday': 'Closed'}","Offers Takeout,No Reservations,No Delivery,Vegan Options","Chinese,Soup",,Restaurant
YamYam,153.0,4.0,266.0,2.7423503576377084,Alte Schönhauser Str. 610119 Berlin,"{'Monday': '12:00 PM - 11:45 PM', 'Tuesday': '12:00 PM - 11:45 PM', 'Wednesday': '12:00 PM - 11:45 PM', 'Thursday': '12:00 PM - 11:45 PM', 'Friday': '12:00 PM - 11:45 PM', 'Saturday': '12:00 PM - 11:45 PM', 'Sunday': '1:00 PM - 11:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Many Vegetarian Options",Korean,,Restaurant
ammAmma,50.0,4.5,61.0,8.847357304808728,Eisenacher Str. 5910823 Berlin,"{'Monday': '12:00 PM - 12:00 AM (Next day)', 'Tuesday': '12:00 PM - 12:00 AM (Next day)', 'Wednesday': '12:00 PM - 12:00 AM (Next day)', 'Thursday': '12:00 PM - 12:00 AM (Next day)', 'Friday': '12:00 PM - 12:00 AM (Next day)', 'Saturday': '12:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 12:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating",Indian,,Restaurant
DerFischladen,103.0,4.5,116.0,4.383546359195335,Schönhauser Allee 12810437 Berlin,"{'Monday': '10:00 AM - 10:00 PM', 'Tuesday': '10:00 AM - 10:00 PM', 'Wednesday': '10:00 AM - 10:00 PM', 'Thursday': '10:00 AM - 10:00 PM', 'Friday': '10:00 AM - 10:00 PM', 'Saturday': '10:00 AM - 10:00 PM', 'Sunday': '1:00 PM - 10:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating","Seafood,Fishmongers,Fish & Chips",,Restaurant
momos,38.0,4.0,12.0,,Chausseestr. 210115 Berlin,"{'Monday': '12:00 PM - 10:00 PM', 'Tuesday': '12:00 PM - 10:00 PM', 'Wednesday': '12:00 PM - 10:00 PM', 'Thursday': '12:00 PM - 10:00 PM', 'Friday': '12:00 PM - 10:00 PM', 'Saturday': '12:00 PM - 10:00 PM', 'Sunday': 'Closed'}","Offers Delivery,Offers Takeout,No Reservations,Accepts Debit Cards","Vegetarian,Vegan",,Restaurant
RauschSchokoladenhaus,698.0,4.5,312.0,10.063333075608778,Charlottenstr. 6010117 Berlin,"{'Monday': '10:00 AM - 8:00 PM', 'Tuesday': '10:00 AM - 8:00 PM', 'Wednesday': '10:00 AM - 8:00 PM', 'Thursday': '10:00 AM - 8:00 PM', 'Friday': '10:00 AM - 8:00 PM', 'Saturday': '10:00 AM - 8:00 PM', 'Sunday': '11:00 AM - 8:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards","Chocolate & Chocolatiers,Cafes",,Restaurant
TheTree,37.0,4.5,17.0,2.828065926481498,Brunnenstr. 16710119 Berlin,"{'Monday': '12:00 PM - 3:00 PM', 'Tuesday': '12:00 PM - 3:00 PM', 'Wednesday': '12:00 PM - 3:00 PM', 'Thursday': '12:00 PM - 3:00 PM', 'Friday': '12:00 PM - 3:00 PM', 'Saturday': '1:00 PM - 10:00 PM', 'Sunday': '1:00 PM - 10:00 PM'}","Takes Reservations,Offers Takeout,Many Vegetarian Options,Outdoor Seating",Chinese,,Restaurant
achtdreissig,59.0,4.5,23.0,8.10487609790632,Oranienburger Str. 3810117 Berlin,"{'Monday': 'Closed', 'Tuesday': '12:00 PM - 11:00 PM', 'Wednesday': '12:00 PM - 11:00 PM', 'Thursday': '12:00 PM - 11:00 PM', 'Friday': '12:00 PM - 11:00 PM', 'Saturday': '5:00 PM - 11:00 PM', 'Sunday': 'Closed'}","Takes Reservations,Offers Delivery,No Takeout,Accepts Debit Cards",German,,Restaurant
DaJiaLe,157.0,4.5,62.0,3.5433063444383346,Goebenstr. 2310783 Berlin,"{'Monday': '12:00 PM - 11:00 PM', 'Tuesday': '12:00 PM - 11:00 PM', 'Wednesday': '12:00 PM - 11:00 PM', 'Thursday': '12:00 PM - 11:00 PM', 'Friday': '12:00 PM - 11:00 PM', 'Saturday': '12:00 PM - 11:00 PM', 'Sunday': '12:00 PM - 11:00 PM'}","Takes Reservations,Offers Delivery,Offers Takeout,Accepts Debit Cards",Chinese,,Restaurant
RepkeSptzlerei,88.0,4.0,79.0,4.046315007962773,Bleibtreustr. 4610623 Berlin,"{'Monday': '11:30 AM - 11:00 PM', 'Tuesday': '11:30 AM - 11:00 PM', 'Wednesday': '11:30 AM - 11:00 PM', 'Thursday': '11:30 AM - 11:00 PM', 'Friday': '11:30 AM - 11:00 PM', 'Saturday': '11:30 AM - 11:00 PM', 'Sunday': '11:30 AM - 11:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards",German,,Restaurant
SptzleClub,23.0,4.5,50.0,,Seydelstr. 210117 Berlin,"{'Monday': '11:00 AM - 4:00 PM', 'Tuesday': '11:00 AM - 4:00 PM', 'Wednesday': '11:00 AM - 4:00 PM', 'Thursday': '11:00 AM - 4:00 PM', 'Friday': '11:00 AM - 4:00 PM', 'Saturday': 'Closed', 'Sunday': 'Closed'}","Offers Takeout,No Reservations,No Delivery,Many Vegetarian Options","German,Swabian",,Restaurant
Udagawa,43.0,4.0,54.0,3.680489111644799,Kantstr. 11810625 Berlin,"{'Monday': '12:00 PM - 11:30 PM', 'Tuesday': '12:00 PM - 11:30 PM', 'Wednesday': '12:00 PM - 11:30 PM', 'Thursday': '12:00 PM - 11:30 PM', 'Friday': '12:00 PM - 11:30 PM', 'Saturday': '12:00 PM - 11:30 PM', 'Sunday': '12:00 PM - 11:30 PM'}","Takes Reservations,Offers Takeout,No Delivery,Moderate Noise",Japanese,,Restaurant
LaCasaBuenaVista,99.0,4.5,63.0,6.060800765369039,Bizetstraße 13613088 Berlin,"{'Monday': 'Closed', 'Tuesday': '5:00 PM - 11:00 PM', 'Wednesday': '5:00 PM - 11:00 PM', 'Thursday': '5:00 PM - 11:00 PM', 'Friday': '4:00 PM - 11:00 PM', 'Saturday': '4:00 PM - 11:00 PM', 'Sunday': '4:00 PM - 11:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards","Cuban,Cocktail Bars,Cajun/Creole",,Restaurant
WeingalerieundCafN,107.0,4.5,131.0,1.4880531198598757,Glinkastr. 2310117 Berlin,"{'Monday': '12:00 PM - 1:00 AM (Next day)', 'Tuesday': '12:00 PM - 1:00 AM (Next day)', 'Wednesday': '12:00 PM - 1:00 AM (Next day)', 'Thursday': '12:00 PM - 1:00 AM (Next day)', 'Friday': '12:00 PM - 1:00 AM (Next day)', 'Saturday': 'Closed', 'Sunday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards","Wine Bars,Mediterranean,Flatbread",,Restaurant
Ushido,164.0,4.5,48.0,4.107128390422846,Lychener Str. 1810437 Berlin,"{'Monday': '6:00 PM - 11:00 PM', 'Tuesday': '6:00 PM - 11:00 PM', 'Wednesday': '6:00 PM - 11:00 PM', 'Thursday': '6:00 PM - 11:00 PM', 'Friday': '6:00 PM - 12:00 AM (Next day)', 'Saturday': '5:00 PM - 12:00 AM (Next day)', 'Sunday': '5:00 PM - 11:00 PM'}","Takes Reservations,Offers Delivery,No Takeout,Accepts Debit Cards","Japanese,BBQ & Barbecue",,Restaurant
DuBonheur,53.0,4.5,49.0,2.828065926481498,Brunnenstr. 3910115 Berlin,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '8:00 AM - 7:00 PM', 'Thursday': '8:00 AM - 7:00 PM', 'Friday': '8:00 AM - 7:00 PM', 'Saturday': '9:00 AM - 7:00 PM', 'Sunday': '9:00 AM - 7:00 PM'}","Offers Delivery,Offers Takeout,No Reservations,Outdoor Seating","Cafes,Bakeries,Delicatessen",,Restaurant
CafeAlbrecht,30.0,4.0,9.0,0.6362740831856992,Reinhardtstr. 2310117 Berlin,"{'Monday': '7:00 AM - 6:00 PM', 'Tuesday': '7:00 AM - 6:00 PM', 'Wednesday': '7:00 AM - 6:00 PM', 'Thursday': '7:00 AM - 6:00 PM', 'Friday': '7:00 AM - 6:00 PM', 'Saturday': '8:00 AM - 5:00 PM', 'Sunday': '8:00 AM - 4:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating","Bakeries,Coffee & Tea Shops,Breakfast & Brunch",,Restaurant
Momiji,29.0,5.0,12.0,4.046315007962773,Bleibtreustr. 5210623 Berlin,"{'Monday': '12:00 PM - 3:00 PM', 'Tuesday': '12:00 PM - 3:00 PM', 'Wednesday': '12:00 PM - 3:00 PM', 'Thursday': '12:00 PM - 3:00 PM', 'Friday': '12:00 PM - 3:00 PM', 'Saturday': '12:00 PM - 3:00 PM', 'Sunday': 'Closed'}","Takes Reservations,Offers Takeout,No Delivery,Good for Groups",Japanese,,Restaurant
Pascarella,11.0,4.5,6.0,,Chauseestr. 3010115 Berlin,"{'Monday': '11:00 AM - 11:00 PM', 'Tuesday': '11:00 AM - 11:00 PM', 'Wednesday': '11:00 AM - 11:00 PM', 'Thursday': '11:00 AM - 11:00 PM', 'Friday': '11:00 AM - 11:00 PM', 'Saturday': '11:00 AM - 11:00 PM', 'Sunday': '4:00 PM - 11:00 PM'}","Takes Reservations,No Delivery,No Takeout,Dressy","Pizza,Italian",,Restaurant
MariaBonita,84.0,4.0,185.0,5.263795998735442,Danziger Str. 3310435 Berlin,"{'Monday': '12:00 PM - 11:00 PM', 'Tuesday': '12:00 PM - 11:00 PM', 'Wednesday': '12:00 PM - 11:00 PM', 'Thursday': '12:00 PM - 11:00 PM', 'Friday': '12:00 PM - 11:00 PM', 'Saturday': '12:00 PM - 11:00 PM', 'Sunday': '12:00 PM - 11:00 PM'}","Offers Takeout,No Reservations,No Delivery,Vegan Options",Mexican,,Restaurant
ZurHaxe,42.0,4.5,82.0,4.3957802372767105,Erich-Weinert-Str. 12810409 Berlin,"{'Monday': '4:00 PM - 12:00 AM (Next day)', 'Tuesday': '4:00 PM - 12:00 AM (Next day)', 'Wednesday': '4:00 PM - 12:00 AM (Next day)', 'Thursday': '4:00 PM - 12:00 AM (Next day)', 'Friday': '4:00 PM - 12:00 AM (Next day)', 'Saturday': '12:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 12:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Limited Vegetarian Options",German,,Restaurant
PapPanediSorrento,117.0,4.0,238.0,1.8314823859053315,Ackerstr. 2310115 Berlin,"{'Monday': '12:00 PM - 12:00 AM (Next day)', 'Tuesday': '12:00 PM - 12:00 AM (Next day)', 'Wednesday': '12:00 PM - 12:00 AM (Next day)', 'Thursday': '12:00 PM - 12:00 AM (Next day)', 'Friday': '12:00 PM - 12:00 AM (Next day)', 'Saturday': '12:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 12:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Many Vegetarian Options",Italian,,Restaurant
TheBird,238.0,4.0,665.0,3.3941537599462897,Am Falkplatz 510437 Berlin,"{'Monday': '6:00 PM - 11:00 PM', 'Tuesday': '6:00 PM - 11:00 PM', 'Wednesday': '6:00 PM - 11:00 PM', 'Thursday': '6:00 PM - 11:00 PM', 'Friday': '4:00 PM - 12:00 AM (Next day)', 'Saturday': '12:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 11:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Many Vegetarian Options","Burgers,Steakhouses",,Restaurant
Taste,12.0,4.5,9.0,1.8937993780952656,Alt-Moabit 5410555 Berlin,"{'Monday': '12:00 PM - 12:00 AM (Next day)', 'Tuesday': '12:00 PM - 12:00 AM (Next day)', 'Wednesday': '12:00 PM - 12:00 AM (Next day)', 'Thursday': '12:00 PM - 12:00 AM (Next day)', 'Friday': '12:00 PM - 12:00 AM (Next day)', 'Saturday': '5:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 12:00 AM (Next day)'}","Takes Reservations,Offers Delivery,Offers Takeout,Outdoor Seating",Singaporean,,
